code,stock_name,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600000,浦发银行,2024-10-31,2024-09-30,0.048669,0.274856,,35687000000.000000,1.496959,,29352177607.00,29352177607.00
sh.600004,白云机场,2024-10-31,2024-09-30,0.037446,0.131564,0.270551,697351127.950000,0.353136,,2366718283.00,2366718283.00
sh.600006,东风股份,2024-10-31,2024-09-30,-0.013943,-0.014261,0.030254,-113781148.410000,0.024046,,2000000000.00,2000000000.00
sh.600007,中国国贸,2024-10-31,2024-09-30,0.106608,0.345444,0.605136,1019214071.000000,1.266309,,1007282534.00,1007282534.00
sh.600008,首创环保,2024-10-30,2024-09-30,0.107333,0.266368,0.354006,3693440052.570000,0.487802,,7340590677.00,7340590677.00
sh.600009,上海机场,2024-10-31,2024-09-30,0.029553,0.155660,0.225601,1430649327.850000,0.658583,,2488481340.00,1926958448.00
sh.600010,包钢股份,2024-10-31,2024-09-30,-0.010009,-0.013944,0.078771,-695344008.220000,-0.010485,,45404942248.00,31497121187.00
sh.600011,华能国际,2024-10-30,2024-09-30,0.077178,0.072432,0.160256,13356170159.000000,0.400995,,15698093359.00,10997709919.00
sh.600012,皖通高速,2024-10-29,2024-09-30,0.095627,0.245967,0.355954,1240523047.720000,0.922611,,1658610000.00,1165600000.00
sh.600015,华夏银行,2024-10-31,2024-09-30,0.055229,0.265720,,18902000000.000000,1.691431,,15914928468.00,15387223983.00
sh.600016,民生银行,2024-10-31,2024-09-30,0.048487,0.302144,,30716000000.000000,0.747606,,43782418502.00,35462123213.00
sh.600017,日照港,2024-10-30,2024-09-30,0.046964,0.116866,0.253642,733425240.520000,0.192873,,3075653888.00,3075653888.00
sh.600018,上港集团,2024-10-31,2024-09-30,0.092980,0.438202,0.376036,12719376876.940000,0.586436,,23284144750.00,23214577754.00
sh.600019,宝钢股份,2024-10-30,2024-09-30,0.029458,0.028364,0.052617,6888475940.280000,0.431005,,21985240734.00,21857918984.00
sh.600020,中原高速,2024-10-30,2024-09-30,0.055074,0.174920,0.396708,823069582.820000,0.329003,,2247371832.00,2247371832.00
sh.600021,上海电力,2024-10-29,2024-09-30,0.085583,0.134662,0.252510,4385395646.430000,0.914252,,2816743645.00,2617164197.00
sh.600022,山东钢铁,2024-10-31,2024-09-30,-0.071257,-0.024520,0.016358,-1577435875.240000,-0.141253,,10698849554.00,10698849554.00
sh.600023,浙能电力,2024-10-30,2024-09-30,0.096096,0.120210,0.124698,7969406678.240000,0.541252,,13408732749.00,13408732749.00
sh.600025,华能水电,2024-10-30,2024-09-30,0.102258,0.400348,0.598257,7773805471.890000,0.453329,,18000000000.00,18000000000.00
sh.600026,中远海能,2024-10-31,2024-09-30,0.097063,0.212949,0.297910,3650736662.240000,0.639686,,4770776395.00,3474776395.00
sh.600027,华电国际,2024-10-31,2024-09-30,0.073415,0.071176,0.090908,6036489000.000000,0.506484,,10227561133.00,8510327533.00
sh.600028,中国石化,2024-10-29,2024-09-30,0.054461,0.021465,0.151955,50798000000.000000,0.425177,,121699823893.00,94971971046.00
sh.600029,南方航空,2024-10-29,2024-09-30,0.052080,0.027365,0.103393,3685000000.000000,-0.196679,,18120909074.00,12673340338.00
sh.600030,中信证券,2024-10-30,2024-09-30,0.060498,0.378203,,17450912163.210000,1.356594,,14820546829.00,12176550974.00
sh.600031,三一重工,2024-10-31,2024-09-30,0.070067,0.086005,0.282681,4978864000.000000,0.628587,,8474978037.00,8464215837.00
sh.600032,浙江新能,2024-10-29,2024-09-30,0.052404,0.238602,0.505136,934402361.660000,0.297592,,2404675324.00,2404675324.00
sh.600033,福建高速,2024-10-31,2024-09-30,0.069431,0.436497,0.605075,990081984.810000,0.328136,,2744400000.00,2744400000.00
sh.600035,楚天高速,2024-10-30,2024-09-30,0.079207,0.256261,0.433193,687765195.780000,0.497101,,1610115901.00,1610115901.00
sh.600036,招商银行,2024-10-30,2024-09-30,0.101561,0.451266,,114039000000.000000,5.784968,,25219845601.00,20628944429.00
sh.600037,歌华有线,2024-10-31,2024-09-30,-0.000940,-0.007678,0.094669,-12033759.670000,-0.071787,,1391777884.00,1391777884.00
sh.600038,中直股份,2024-10-30,2024-09-30,0.027398,0.020199,0.085959,349442010.060000,0.353896,,819893213.00,589476716.00
sh.600039,四川路桥,2024-10-31,2024-09-30,0.105404,0.067979,0.157596,4886147970.210000,0.691259,,8712818205.00,6700087365.00
sh.600048,保利发展,2024-10-29,2024-09-30,0.039132,0.066978,0.159157,12241783720.330000,0.550277,,11970443418.00,11970443418.00
sh.600050,中国联通,2024-10-23,2024-09-30,0.051219,0.065396,0.260155,18972914550.000000,0.280912,,31800581312.00,30965652312.00
sh.600051,宁波联合,2024-10-29,2024-09-30,0.016517,0.007480,0.140086,7567650.490000,0.344101,,310880000.00,310880000.00
sh.600052,东望时代,2024-10-31,2024-09-30,0.031256,0.388190,0.293328,91439768.800000,0.177182,,844194741.00,844194741.00
sh.600053,九鼎投资,2024-10-31,2024-09-30,0.002421,0.035182,0.689975,6703919.850000,0.008638,,433540800.00,433540800.00
sh.600054,黄山旅游,2024-10-31,2024-09-30,0.062525,0.221521,0.534129,312750418.440000,0.411216,,729379440.00,513300000.00
sh.600055,万东医疗,2024-10-26,2024-09-30,0.024491,0.106695,0.383324,116626283.670000,0.261838,,703061058.00,540816199.00
sh.600056,中国医药,2024-10-26,2024-09-30,0.038518,0.023790,0.106617,620917976.670000,0.602373,,1495879748.00,1495351478.00
sh.600057,厦门象屿,2024-10-31,2024-09-30,0.040218,0.004871,0.020200,1450158573.100000,0.564376,,2272414063.00,2192109980.00
sh.600058,五矿发展,2024-10-31,2024-09-30,0.018120,0.002854,0.027857,146644180.690000,0.145708,,1071910711.00,1071910711.00
sh.600059,古越龙山,2024-10-26,2024-09-30,0.023135,0.104941,0.367472,135460315.670000,0.436689,,911542413.00,911542413.00
sh.600060,海信视像,2024-10-30,2024-09-30,0.069570,0.038442,0.153100,1562685431.950000,1.361984,,1305401055.00,1295094388.00
sh.600061,国投资本,2024-10-31,2024-09-30,0.038851,1.904079,0.001561,2471043420.390000,0.312823,,6425311953.00,6425311953.00
sh.600062,华润双鹤,2024-10-26,2024-09-30,0.131278,0.165153,0.584640,1411764462.200000,1.296859,,1039319188.00,1026853045.00
sh.600063,皖维高新,2024-10-26,2024-09-30,0.024444,0.031341,0.131507,186387403.320000,0.062916,,2156908366.00,1925894692.00
sh.600064,南京高科,2024-10-24,2024-09-30,0.100600,1.223788,0.212678,1853125298.220000,0.998924,,1730339644.00,1730339644.00
sh.600066,宇通客车,2024-10-29,2024-09-30,0.180795,0.102127,0.213260,2458685247.870000,1.444672,,2213939223.00,2213939223.00
sh.600067,冠城新材,2024-10-30,2024-09-30,-0.011093,-0.005072,0.117344,-31940364.350000,-0.271313,,1391668739.00,1391668739.00
sh.600070,*ST富润,2024-10-31,2024-09-30,-0.268333,-1.544822,0.102849,-158156297.270000,-1.071387,,507420732.00,506720732.00
sh.600071,凤凰光学,2024-10-29,2024-09-30,-0.046685,-0.018737,0.148826,-22793347.160000,-0.247397,,281573889.00,281573889.00
sh.600072,中船科技,2024-10-31,2024-09-30,-0.006529,0.000915,0.172639,4637144.820000,-0.028890,,1506521728.00,1083337316.00
sh.600073,光明肉业,2024-10-31,2024-09-30,0.075415,0.021021,0.106877,344407556.230000,0.307769,,937729472.00,937729472.00
sh.600075,新疆天业,2024-10-23,2024-09-30,0.001090,0.001299,0.130811,10128771.410000,0.009307,,1707361781.00,1707361781.00
sh.600076,康欣新材,2024-10-29,2024-09-30,-0.029302,-0.254816,-0.029252,-125812115.030000,-0.215877,,1344543367.00,1344543367.00
sh.600078,澄星股份,2024-10-31,2024-09-30,-0.037712,-0.007984,0.071966,-19433290.280000,-0.025193,,662572861.00,662572861.00
sh.600079,人福医药,2024-10-30,2024-09-30,0.091068,0.110084,0.467580,2107380778.330000,1.198014,,1632257765.00,1543178770.00
sh.600080,金花股份,2024-10-30,2024-09-30,0.019486,0.073449,0.779835,30770165.280000,-0.041554,,373270285.00,373270285.00
sh.600081,东风科技,2024-10-25,2024-09-30,0.013481,0.030756,0.119448,155770824.640000,0.236371,,553026170.00,553026170.00
sh.600082,海泰发展,2024-10-31,2024-09-30,-0.027766,-1.475296,0.350869,-48428965.000000,-0.000416,,646115826.00,634335412.00
sh.600083,*ST博信,2024-10-31,2024-09-30,,-0.521754,-0.003527,-33636449.880000,-0.585791,,230000000.00,227993326.00
sh.600084,中信尼雅,2024-10-26,2024-09-30,0.000319,0.004438,0.584331,451643.960000,-0.003195,,1123726830.00,1123726830.00
sh.600085,同仁堂,2024-10-30,2024-09-30,0.103704,0.143538,0.437010,1983658982.810000,1.187194,,1371470262.00,1371470262.00
sh.600088,中视传媒,2024-10-30,2024-09-30,0.084483,0.262161,0.168954,110561378.750000,0.099828,,397706400.00,397706400.00
sh.600089,特变电工,2024-10-30,2024-09-30,0.065559,0.062170,0.189446,4493704035.250000,1.112979,,5052792541.00,5052792541.00
sh.600094,大名城,2024-10-30,2024-09-30,0.018459,0.061107,0.156403,232872652.690000,-0.076856,,2475325057.00,2276604962.00
sh.600095,湘财股份,2024-10-26,2024-09-30,0.012276,0.346751,0.012223,142364439.210000,0.040233,,2859187743.00,2859187743.00
sh.600096,云天化,2024-10-15,2024-09-30,0.220054,0.109160,0.169871,5100416889.990000,2.857591,,1834328747.00,1834328747.00
sh.600097,开创国际,2024-10-30,2024-09-30,0.007380,0.013451,0.273721,23267852.160000,0.615694,,240936559.00,240936559.00
sh.600098,广州发展,2024-10-31,2024-09-30,0.061059,0.047758,0.103254,1717912263.030000,0.483946,,3506870708.00,3498749964.00
sh.600099,林海股份,2024-10-26,2024-09-30,0.023815,0.016053,0.132429,12230415.980000,0.063519,,219120000.00,219120000.00
sh.600100,同方股份,2024-10-30,2024-09-30,0.005085,0.002345,0.276815,21892186.870000,-0.020521,,3350297713.00,3350297713.00
sh.600101,明星电力,2024-10-30,2024-09-30,0.076958,0.104832,0.147314,223811229.460000,0.399445,,547862471.00,547862471.00
sh.600103,青山纸业,2024-10-29,2024-09-30,0.022224,0.048395,0.188931,97099119.910000,0.052284,,2253255047.00,2212329047.00
sh.600104,上汽集团,2024-10-31,2024-09-30,0.023858,0.020096,0.089065,8433263731.180000,0.829901,,11575299445.00,11575299445.00
sh.600105,永鼎股份,2024-10-26,2024-09-30,0.020252,0.034868,0.179603,103648117.080000,0.009729,,1392873160.00,1392873160.00
sh.600106,重庆路桥,2024-10-30,2024-09-30,0.026375,1.489201,0.917934,126114950.800000,0.129568,,1329025062.00,1329025062.00
sh.600107,美尔雅,2024-10-31,2024-09-30,-0.090587,-0.190319,0.318172,-48992214.790000,-0.264999,,360000000.00,360000000.00
sh.600108,亚盛集团,2024-10-30,2024-09-30,0.008649,0.016892,0.182609,37337028.950000,0.048336,,1946915121.00,1946915121.00
sh.600109,国金证券,2024-10-31,2024-09-30,0.027297,0.210347,,902647445.100000,0.370638,,3712559510.00,3199556972.00
sh.600110,诺德股份,2024-10-30,2024-09-30,-0.036518,-0.061414,0.067329,-227807604.600000,-0.129363,,1735180932.00,1735180932.00
sh.600111,北方稀土,2024-10-30,2024-09-30,0.018644,0.038115,0.090408,821745222.710000,0.386065,,3615065842.00,3615065842.00
sh.600113,浙江东日,2024-10-31,2024-09-30,0.044723,0.172624,0.401540,93827499.850000,0.488734,,421366660.00,411431160.00
sh.600114,东睦股份,2024-10-29,2024-09-30,0.106135,0.085513,0.236835,308756229.020000,0.596440,,616383477.00,616383477.00
sh.600115,中国东航,2024-10-31,2024-09-30,-0.003413,-0.001794,0.063216,-184000000.000000,-0.256154,,22291296570.00,14619587918.00
sh.600116,三峡水利,2024-10-25,2024-09-30,0.034169,0.045568,0.111659,369182159.040000,0.293629,,1912142904.00,1912142904.00
sh.600117,西宁特钢,2024-10-31,2024-09-30,-0.077411,-0.143790,-0.068837,-591913797.550000,0.752554,,3255114857.00,3255114857.00
sh.600118,中国卫星,2024-10-25,2024-09-30,-0.002336,-0.004522,0.186656,-7572519.530000,-0.019685,,1182489135.00,1182489135.00
sh.600119,长江投资,2024-10-31,2024-09-30,-0.145533,-0.096770,0.055466,-40594235.440000,-0.035148,,365270370.00,365270370.00
sh.600120,浙江东方,2024-10-26,2024-09-30,0.026737,0.060507,0.038742,421678594.870000,0.142831,,3415381492.00,3415381492.00
sh.600121,郑州煤电,2024-10-31,2024-09-30,0.007995,0.025672,0.264701,82008384.450000,0.111679,,1218412038.00,1218412038.00
sh.600123,兰花科创,2024-10-29,2024-09-30,0.043002,0.065493,0.294912,551370487.100000,0.677316,,1485120000.00,1485120000.00
sh.600125,铁龙物流,2024-10-31,2024-09-30,0.055199,0.039042,0.081590,395224582.730000,0.314407,,1305521874.00,1305521874.00
sh.600126,杭钢股份,2024-10-30,2024-09-30,-0.022464,-0.009259,0.001251,-446827946.420000,-0.103660,,3377189083.00,3377189083.00
sh.600127,金健米业,2024-10-25,2024-09-30,0.000936,0.000409,0.048256,1226662.680000,0.010884,,641783218.00,641783218.00
sh.600128,苏豪弘业,2024-10-30,2024-09-30,0.017214,0.011335,0.049494,61305530.600000,0.194347,,246767500.00,246767500.00
sh.600129,太极集团,2024-10-25,2024-09-30,0.143005,0.052881,0.423018,551755594.950000,1.093750,,556890744.00,556890744.00
sh.600130,波导股份,2024-10-31,2024-09-30,0.004163,0.030878,0.133642,6506096.920000,0.004599,,750000000.00,750000000.00
sh.600131,国网信通,2024-10-30,2024-09-30,0.046876,0.079515,0.211576,297913267.450000,0.652162,,1201759044.00,1194314024.00
sh.600132,重庆啤酒,2024-10-31,2024-09-30,0.622964,0.204134,0.492015,2666605303.420000,2.736685,,483971198.00,483971198.00
sh.600133,东湖高新,2024-10-31,2024-09-30,0.025034,0.169356,0.308201,210466497.670000,0.993956,,1066239875.00,1066239875.00
sh.600135,乐凯胶片,2024-10-31,2024-09-30,-0.023249,-0.051406,0.133202,-56512394.380000,-0.216743,,553307099.00,553307099.00
sh.600136,ST明诚,2024-10-31,2024-09-30,-0.079307,-0.280563,0.033122,-43387808.350000,2.332949,,2040825931.00,1943089494.00
sh.600137,浪莎股份,2024-10-30,2024-09-30,0.029076,0.065734,0.186302,15534756.230000,0.279228,,97217588.00,97217588.00
sh.600138,中青旅,2024-10-31,2024-09-30,0.024454,0.034154,0.238799,240711635.310000,0.194594,,723840000.00,723840000.00
sh.600141,兴发集团,2024-10-26,2024-09-30,0.062678,0.060200,0.179586,1327406604.250000,1.576993,,1103254582.00,1103254582.00
sh.600143,金发科技,2024-10-30,2024-09-30,0.040465,0.007922,0.122201,320567017.010000,0.195486,,2636612697.00,2597225566.00
sh.600148,长春一东,2024-10-22,2024-09-30,-0.007704,0.006348,0.149148,3239172.580000,0.058472,,141516450.00,141516450.00
sh.600149,廊坊发展,2024-10-31,2024-09-30,0.383826,0.261128,0.389756,77782509.300000,0.176653,,380160000.00,380160000.00
sh.600150,中国船舶,2024-10-31,2024-09-30,0.046390,0.041961,0.094088,2356915014.190000,0.596257,,4472428758.00,4472428758.00
sh.600151,航天机电,2024-10-30,2024-09-30,-0.008141,-0.014674,0.090345,-60906910.170000,-0.332964,,1434252287.00,1434252287.00
sh.600152,维科技术,2024-10-30,2024-09-30,0.000293,-0.001638,0.133292,-1802736.230000,-0.079044,,528955640.00,528955640.00
sh.600153,建发股份,2024-10-31,2024-09-30,0.029499,0.005334,0.043696,2678607630.990000,0.930223,,2947095201.00,2899538551.00
sh.600155,华创云信,2024-10-31,2024-09-30,0.005450,0.010798,,23647050.440000,0.104802,,2261423642.00,2261423642.00
sh.600156,华升股份,2024-10-29,2024-09-30,-0.048229,-0.053158,0.063894,-26318992.730000,0.053019,,402110702.00,402110702.00
sh.600157,永泰能源,2024-10-30,2024-09-30,0.031307,0.081036,0.259349,1813211571.240000,0.094776,,22217764145.00,22217764145.00
sh.600158,中体产业,2024-10-29,2024-09-30,0.008916,0.060620,0.280593,94200550.310000,0.139949,,959513067.00,959513067.00
sh.600159,大龙地产,2024-10-31,2024-09-30,-0.007984,-0.027434,0.101606,-15161303.420000,-0.421605,,830003232.00,830003232.00
sh.600160,巨化股份,2024-10-25,2024-09-30,0.075896,0.077644,0.169469,1390323037.900000,0.538675,,2699746081.00,2699746081.00
sh.600161,天坛生物,2024-10-26,2024-09-30,0.102788,0.350421,0.553287,1427390948.390000,0.644395,,1977371446.00,1977371446.00
sh.600162,香江控股,2024-10-31,2024-09-30,0.011162,-0.016176,0.244599,-52192939.660000,0.018066,,3268438122.00,3268438122.00
sh.600163,中闽能源,2024-10-30,2024-09-30,0.063801,0.395842,0.539057,433643136.980000,0.369344,,1902996143.00,1902996143.00
sh.600165,*ST宁科,2024-10-31,2024-09-30,,-2.703823,-0.003490,-498928586.610000,-1.058315,,684883775.00,684883775.00
sh.600166,福田汽车,2024-10-31,2024-09-30,0.029952,0.011255,0.125865,402504654.690000,0.069085,,8003763475.00,6575192047.00
sh.600167,联美控股,2024-10-31,2024-09-30,0.046332,0.228341,0.318980,524655431.840000,0.312087,,2288119475.00,2288119475.00
sh.600168,武汉控股,2024-10-28,2024-09-30,0.013823,0.025309,0.215340,72209785.680000,-0.108770,,993397569.00,993397569.00
sh.600169,太原重工,2024-10-19,2024-09-30,0.013458,0.021306,0.189972,136162989.880000,0.044499,,3361256840.00,3333141500.00
sh.600170,上海建工,2024-10-31,2024-09-30,0.031213,0.006873,0.081908,1470907555.470000,0.181581,,8885939744.00,8885939744.00
sh.600171,上海贝岭,2024-10-31,2024-09-30,0.057406,0.127578,0.285774,238565026.450000,0.435855,,708923303.00,708923303.00
sh.600172,黄河旋风,2024-10-31,2024-09-30,-0.186494,-0.452929,0.103062,-425342760.020000,-0.594601,,1442184476.00,1276255750.00
sh.600173,卧龙地产,2024-10-24,2024-09-30,0.028385,0.045465,0.150334,109881539.140000,0.049387,,700506244.00,700416244.00
sh.600176,中国巨石,2024-10-25,2024-09-30,0.053179,0.136373,0.237373,1586316142.710000,0.475548,,4003136728.00,4003136728.00
sh.600177,雅戈尔,2024-10-30,2024-09-30,0.062834,0.299689,0.428471,2517348255.650000,0.703539,,4623441902.00,4623441902.00
sh.600178,东安动力,2024-10-29,2024-09-30,-0.000630,0.001497,0.062184,4477908.750000,-0.057853,,475283888.00,466476161.00
sh.600179,安通控股,2024-10-22,2024-09-30,0.015741,0.030221,0.062277,161064252.740000,0.078578,,4231526979.00,3734236495.00
sh.600180,瑞茂通,2024-10-29,2024-09-30,0.015896,0.005932,0.040788,133743232.410000,0.017225,,1086627464.00,1086627464.00
sh.600182,S佳通,2024-10-30,2024-09-30,0.125090,0.082993,0.194133,284223829.200000,0.614333,,340000000.00,170000000.00
sh.600183,生益科技,2024-10-29,2024-09-30,0.096866,0.098386,0.220151,1450675021.180000,0.673959,,2429397730.00,2371338882.00
sh.600184,光电股份,2024-10-25,2024-09-30,0.000436,0.001059,0.156681,1105097.910000,0.051827,,508760826.00,508760826.00
sh.600185,格力地产,2024-10-29,2024-09-30,-0.180738,-0.378210,0.134600,-922004444.040000,-0.711834,,1885005795.00,1885005795.00
sh.600186,莲花控股,2024-10-31,2024-09-30,0.101560,0.086494,0.234786,167328623.530000,0.111794,,1793251141.00,1785951141.00
sh.600187,国中水务,2024-10-30,2024-09-30,0.002838,0.050188,0.303384,6295896.720000,-0.017327,,1613781103.00,1613781103.00
sh.600188,兖矿能源,2024-10-26,2024-09-30,0.148108,0.155587,0.346172,16590626000.000000,1.586149,,10039860402.00,5887172382.00
sh.600189,泉阳泉,2024-10-29,2024-09-30,0.017793,0.051442,0.337127,46248751.600000,-0.661826,,715197812.00,715197812.00
sh.600190,ST锦港,2024-11-01,2024-09-30,-0.375936,-1.593660,0.339120,-2124547836.290000,-1.044834,,2002291500.00,1779484530.00
sh.600191,华资实业,2024-10-31,2024-09-30,0.027285,0.104965,0.076365,43406173.700000,0.070384,,484932000.00,484932000.00
sh.600192,长城电工,2024-10-30,2024-09-30,-0.087787,-0.099381,0.154082,-122885729.180000,-0.401255,,441748000.00,441748000.00
sh.600193,创兴资源,2024-10-31,2024-09-30,-0.068437,-0.429040,0.433005,-19645053.420000,-0.078117,,425373000.00,425373000.00
sh.600195,中牧股份,2024-10-29,2024-09-30,0.014864,0.018964,0.172348,79240553.890000,0.086076,,1021148260.00,1021148260.00
sh.600196,复星医药,2024-10-30,2024-09-30,0.043246,0.081474,0.485971,2518517637.460000,0.790991,,2672398711.00,2118488825.00
sh.600197,伊力特,2024-10-30,2024-09-30,0.062576,0.147581,0.523456,244069483.380000,0.745583,,472012644.00,472012644.00
sh.600198,大唐电信,2024-10-30,2024-09-30,-0.341780,-0.128330,0.486984,-58294204.850000,0.057701,,1303603541.00,880454735.00
sh.600199,金种子酒,2024-10-26,2024-09-30,-0.040322,-0.122532,0.386742,-98747874.340000,-0.131859,,657796824.00,657796824.00
sh.600200,江苏吴中,2024-10-22,2024-09-30,0.025468,0.028607,0.345396,47123827.540000,-0.053101,,712200832.00,710879480.00
sh.600201,生物股份,2024-10-31,2024-09-30,0.031411,0.175376,0.561973,170256021.000000,0.147150,,1120369226.00,1120369226.00
sh.600202,哈空调,2024-10-30,2024-09-30,0.001725,0.002611,0.126704,2459240.590000,-0.001924,,383340672.00,383340672.00
sh.600203,福日电子,2024-10-31,2024-09-30,-0.067920,-0.016807,0.057582,-131797150.470000,-0.483095,,592988082.00,592988082.00
sh.600206,有研新材,2024-10-31,2024-09-30,0.029934,0.007891,0.061052,53342440.730000,0.237825,,846553332.00,846553332.00
sh.600207,安彩高科,2024-10-30,2024-09-30,-0.029358,-0.030835,0.064398,-106711863.090000,-0.133113,,1089312554.00,1089312554.00
sh.600208,衢州发展,2024-10-31,2024-09-30,0.045721,0.221370,0.414793,3126030883.910000,0.195018,,8508940800.00,8507769185.00
sh.600210,紫江企业,2024-10-30,2024-09-30,0.090533,0.077138,0.219979,554439042.990000,0.419420,,1516736158.00,1516736158.00
sh.600211,西藏药业,2024-10-30,2024-09-30,0.227073,0.365510,0.949279,795146775.010000,2.287915,,322319196.00,322319196.00
sh.600212,绿能慧充,2024-10-30,2024-09-30,-0.005766,-0.006821,0.293971,-4176184.420000,-0.015448,,696647213.00,511697213.00
sh.600215,派斯林,2024-10-30,2024-09-30,0.043072,0.059693,0.163987,85825404.150000,0.188929,,465032880.00,456882880.00
sh.600216,浙江医药,2024-10-25,2024-09-30,0.085084,0.106647,0.400548,758558082.680000,1.016966,,961637750.00,961633475.00
sh.600217,中再资环,2024-10-31,2024-09-30,0.020788,0.023459,0.129363,68029048.290000,0.045594,,1657653673.00,1388659782.00
sh.600218,全柴动力,2024-10-30,2024-09-30,0.019599,0.019780,0.100538,60210704.520000,0.196149,,435599919.00,435599919.00
sh.600219,南山铝业,2024-10-29,2024-09-30,0.071173,0.173962,0.253381,4214418330.820000,0.411842,,11708552848.00,11708552848.00
sh.600221,海航控股,2024-10-31,2024-09-30,0.651867,0.041750,0.106169,2159666000.000000,0.036986,,43215632535.00,32872676656.00
sh.600222,太龙药业,2024-10-25,2024-09-30,0.018353,0.022338,0.264869,29947526.300000,0.155743,,573886283.00,573886283.00
sh.600223,福瑞达,2024-10-29,2024-09-30,0.042267,0.074770,0.518501,209546814.290000,0.232661,,1016568775.00,1016568775.00
sh.600225,退市卓朗,2024-10-31,2024-09-30,-0.128844,-0.335325,0.037530,-280911763.290000,-0.122901,,3411394363.00,3408825415.00
sh.600226,亨通股份,2024-10-25,2024-09-30,0.056213,0.180182,0.166489,163641791.740000,0.062432,,3059076673.00,3059076673.00
sh.600227,赤天化,2024-10-30,2024-09-30,-0.013080,-0.020307,0.113122,-34613393.990000,0.054371,,1693134201.00,1278179547.00
sh.600228,返利科技,2024-10-31,2024-09-30,-0.003329,-0.017035,0.482809,-3283561.430000,0.082383,,423250036.00,402395333.00
sh.600229,城市传媒,2024-10-31,2024-09-30,0.040578,0.067903,0.279456,131135822.400000,0.422995,,671208000.00,671208000.00
sh.600230,沧州大化,2024-10-31,2024-09-30,0.005324,0.007373,0.071692,27713492.550000,0.007452,,413961015.00,413961015.00
sh.600231,凌钢股份,2024-10-31,2024-09-30,-0.203130,-0.098193,-0.064863,-1363363785.590000,-0.646302,,2852164363.00,2852164363.00
sh.600232,金鹰股份,2024-10-29,2024-09-30,0.051350,0.058748,0.197223,63995372.360000,0.163105,,364718544.00,364718544.00
sh.600233,圆通速递,2024-10-30,2024-09-30,0.098688,0.058978,0.096333,2911725468.240000,1.159196,,3445393737.00,3445393737.00
sh.600234,*ST科新,2024-10-30,2024-09-30,0.026401,0.077426,0.178334,12172664.400000,-0.528741,,262520973.00,262520973.00
sh.600235,民丰特纸,2024-10-25,2024-09-30,0.041492,0.052412,0.153320,60976579.350000,0.228895,,351300000.00,351300000.00
sh.600236,桂冠电力,2024-10-31,2024-09-30,0.110319,0.339793,0.491734,2498741968.650000,0.285838,,7882377802.00,7882377802.00
sh.600237,铜峰电子,2024-10-26,2024-09-30,0.035505,0.067682,0.240541,65143324.050000,0.146080,,630629155.00,604484178.00
sh.600238,海南椰岛,2024-10-31,2024-09-30,-0.042197,-0.055821,0.385034,-9117381.000000,-0.207317,,448200000.00,445001580.00
sh.600239,云南城投,2024-10-29,2024-09-30,0.013057,0.000986,0.335384,1357684.850000,-0.114474,,1605686909.00,1605686909.00
sh.600241,时代万恒,2024-10-31,2024-09-30,0.016257,0.064083,0.309311,19112078.450000,0.118945,,294302115.00,294302115.00
sh.600243,青海华鼎,2024-10-31,2024-09-30,-0.024472,-0.098989,0.093246,-18349533.840000,-0.338408,,438850000.00,438850000.00
sh.600246,万通发展,2024-10-31,2024-09-30,-0.020815,-0.380841,0.307817,-126343497.150000,-0.169623,,1987381962.00,1987381962.00
sh.600248,陕建股份,2024-10-31,2024-09-30,0.109006,0.033023,0.107334,3362565957.750000,1.034164,,3767582286.00,3680692286.00
sh.600249,两面针,2024-10-30,2024-09-30,0.039012,0.107124,0.165287,84775972.190000,0.123670,,550000000.00,550000000.00
sh.600250,南京商旅,2024-10-30,2024-09-30,0.066938,0.129090,0.284022,77647850.210000,0.116661,,310593879.00,284122040.00
sh.600251,冠农股份,2024-10-30,2024-09-30,0.089311,0.129513,0.096638,367882556.190000,0.537832,,776993583.00,776993583.00
sh.600252,中恒集团,2024-10-30,2024-09-30,0.001716,-0.004767,0.404959,-9185478.530000,-0.007225,,3451489454.00,3425208704.00
sh.600255,鑫科材料,2024-10-30,2024-09-30,0.028673,0.018676,0.080600,53560254.970000,0.007549,,1806146955.00,1806146955.00
sh.600256,广汇能源,2024-10-31,2024-09-30,0.072386,0.072465,0.179548,1912423178.260000,0.354151,,6565755139.00,6565755139.00
sh.600257,大湖股份,2024-10-29,2024-09-30,-0.024758,-0.009836,0.227425,-7523087.490000,-0.066345,,481237188.00,481237188.00
sh.600258,首旅酒店,2024-10-30,2024-09-30,0.063577,0.124154,0.395929,731110691.960000,0.746549,,1116603126.00,1116603126.00
sh.600259,广晟有色,2024-10-31,2024-09-30,-0.078338,-0.033894,0.006629,-296189660.240000,-0.709087,,336435910.00,329489743.00
sh.600261,阳光照明,2024-10-30,2024-09-30,0.042892,0.063326,0.345769,155298494.740000,0.167526,,1335052966.00,1335052966.00
sh.600262,北方股份,2024-10-25,2024-09-30,0.071225,0.067155,0.208495,127853591.920000,0.921498,,170000000.00,170000000.00
sh.600265,景谷林业,2024-10-31,2024-09-30,-0.073862,-0.039009,0.052351,-13245399.930000,-0.065718,,129800000.00,129800000.00
sh.600266,城建发展,2024-10-31,2024-09-30,0.023016,0.033379,0.161774,392567483.550000,0.243839,,2075743507.00,2075743507.00
